Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Ast28B_R1_001	57.405581971581995	41.0	150.0	36.36363636363637	26809030.0
Ast28B_R2_001	55.51661346336573	42.0	150.0	27.27272727272727	26809030.0
fastp_Ast28B_R1_PE	55.52870305666945	39.0	135.4619279631135	18.181818181818183	26063092.0
fastp_Ast28B_R1_SE	22.625529340592863	43.0	116.72798548094374	36.36363636363637	41325.0
fastp_Ast28B_R2_PE	54.1726240266254	39.0	135.50908253709883	18.181818181818183	26063092.0
fastp_Ast28B_R2_SE	25.776427725931555	65.0	72.69182110797897	54.54545454545454	250095.0
trimmomatic_Ast28B_R1_PE	52.1248624451859	39.0	149.78137492438626	18.181818181818183	15769289.0
trimmomatic_Ast28B_R1_SE	49.908404253753766	39.0	114.25604396889231	18.181818181818183	10348953.0
trimmomatic_Ast28B_R2_PE	50.2615010283729	39.0	149.83808515399775	18.181818181818183	15769289.0
trimmomatic_Ast28B_R2_SE	76.31836049940262	92.0	149.9590941770613	45.45454545454545	684328.0
