accession	parent_taxon	taxon	sci_name
GCA_018903765.1	32341	2789722	drosophila_aff._chauvacae_bk-2020
GCA_018150905.1	32341	7216	drosophila_ambigua
GCF_017639315.1	32341	7217	drosophila_ananassae
GCA_018905855.1	32341	2793621	drosophila_anomelani
GCA_008042795.1	32341	154832	drosophila_asahinai
GCA_008121215.1	32341	7248	drosophila_athabasca
GCA_008042615.1	32341	47315	drosophila_auraria
GCA_005876895.1	32341	7249	drosophila_azteca
GCA_018874675.1	32341	137353	drosophila_baimaii
GCA_008044335.1	32341	30018	drosophila_bakoue
GCA_018874595.1	32341	137354	drosophila_barbarae
GCF_018148935.1	32341	125945	drosophila_biarmipes
GCA_009664405.1	32341	7218	drosophila_bifasciata
GCF_018153845.1	32341	42026	drosophila_bipectinata
GCA_008042755.1	32341	46829	drosophila_birchii
GCA_008042715.1	32341	103765	drosophila_bocki
GCA_018151655.1	32341	74549	drosophila_bocqueti
GCA_021223745.1	32341	244254	drosophila_bunnanda
GCA_008042655.1	32341	137355	drosophila_burlai
GCA_018152295.1	32341	2789720	drosophila_carrolli
GCA_008704415.1	110846	1250544	sphaerosporella_brunnea
GCA_015178995.1	110846	47213	trichophaea_hybrida
GCA_014904905.1	110846	1314677	wilcoxina_mikolae_cbs_423.85
GCA_015708375.1	721813	36610	cydonia_oblonga
GCA_006547085.1	721813	106549	malus_baccata
GCF_002114115.1	721813	3750	malus_domestica
GCA_020795835.1	721813	106567	malus_sieversii
GCA_916048215.2	721813	3752	malus_sylvestris
GCA_007844245.1	721813	436086	pyrus_betulifolia
GCA_016587475.1	721813	3767	pyrus_pyrifolia
GCA_008932095.1	721813	2448454	pyrus_ussuriensis_x_pyrus_communis
GCF_000315295.1	721813	225117	pyrus_x_bretschneideri
GCA_004802645.1	35718	1934353	amesia_nigricolor
GCA_001752565.1	35718	904709	chaetomium_cochliodes
GCF_000143365.1	35718	306901	chaetomium_globosum_cbs_148.51
GCA_020736525.1	35718	2821753	chaetomium_sp._mpi-cage-at-0009
GCA_020726445.1	35718	2823209	chaetomium_sp._mpi-sdfr-at-0129
GCF_000221225.1	35718	759272	chaetomium_thermophilum_var._thermophilum_dsm_1495
GCA_019096155.1	35718	669026	staphylotrichum_longicolle
GCF_000226095.1	35718	573729	thermothelomyces_thermophilus_atcc_42464
GCF_000226115.1	35718	578455	thermothielavioides_terrestris_nrrl_8126
GCA_017139535.1	35718	1737316	trichocladium_uniseriatum
GCA_011316235.1	35718	5528	[humicola]_grisea_var._thermoidea
GCA_008009225.1	91836	1000413	acer_yangbiense
GCA_000411095.1	91836	228871	aethionema_arabicum
GCA_020283515.1	91836	126270	alliaria_petiolata
GCA_900406275.1	91836	663965	anastatica_hierochuntica
GCA_014182895.1	91836	34308	angophora_floribunda
GCA_000696445.1	91836	1472648	aquilaria_agallochum
GCA_005392925.1	91836	210372	aquilaria_sinensis
GCA_905175405.1	91836	395843	arabidopsis_arenosa_subsp._arenosa
GCA_900078215.1	91836	63677	arabidopsis_halleri_subsp._gemmifera
GCF_000004255.2	91836	81972	arabidopsis_lyrata_subsp._lyrata
GCA_019202805.1	91836	45249	arabidopsis_suecica
GCA_019202795.1	91836	1240361	arabidopsis_thaliana_x_arabidopsis_arenosa
GCA_900128785.1	91836	50452	arabis_alpina
GCA_001484125.2	91836	746018	arabis_montbretiana
GCA_902206195.3	91836	586526	arabis_nemorensis
GCA_001484925.1	91836	571359	arabis_nordmanniana
GCA_002013935.1	91836	76974	atalantia_buxifolia
GCA_900406295.1	91836	169069	aurinia_saxatilis
GCA_000439995.3	91836	124943	azadirachta_indica
GCA_905178155.1	2864	2202890	amoebophrya_sp._a120
GCA_905178165.1	2864	1410381	amoebophrya_sp._a25
GCA_005223375.1	2864	1775427	amoebophrya_sp._at5.2
GCA_019702695.1	2864	2961	amphidinium_carterae
GCA_000507305.1	2864	1280413	breviolum_minutum_mf_1.05b.01
GCA_905237085.1	2864	89957	polarella_glacialis
GCA_001652855.1	2864	39449	prorocentrum_minimum
GCA_009767595.1	2864	104179	symbiodinium_kawagutii
GCA_001939145.1	2864	2951	symbiodinium_microadriaticum
GCA_905221605.1	2864	878477	symbiodinium_natans
GCA_905231915.1	2864	1628268	symbiodinium_necroappetens
GCA_905231905.1	2864	2952	symbiodinium_pilosum
GCA_905221635.1	2864	1519616	symbiodinium_sp._ccmp2456
GCA_905221615.1	2864	631055	symbiodinium_sp._ccmp2592
GCA_905221625.1	2864	230985	symbiodinium_sp._kb8
GCA_003297005.1	2864	1563115	symbiodinium_sp._clade_a_y106
GCA_003297045.1	2864	1563116	symbiodinium_sp._clade_c_y103
GCA_019973915.1	186749	8227	euthynnus_affinis
GCF_914725855.1	186749	8236	thunnus_albacares
GCF_910596095.1	186749	8240	thunnus_maccoyii
GCA_021601225.1	186749	8238	thunnus_orientalis
GCA_003231725.1	186749	8237	thunnus_thynnus
GCA_021439955.1	5878	331608	certesia_quadrinucleata
GCA_006510565.1	5878	132687	diophrys_appendiculata
GCA_021441625.1	5878	2826162	diophrys_sp._3_wchen-2021
GCA_002087855.3	5878	47911	entodinium_caudatum
GCA_021441665.1	5878	2826164	euplotes_cf._woodruffi_2_wchen-2021
GCA_001880345.2	5878	36767	euplotes_focardii
GCA_021440025.1	5878	181584	euplotes_parawoodruffi
GCA_021440005.1	5878	2655020	euplotes_weissei
GCA_021439945.1	5878	5942	euplotes_woodruffi
GCA_006369765.1	5878	5974	halteria_grandinella
GCF_000220395.1	5878	5932	ichthyophthirius_multifiliis
GCA_001272975.2	5878	1615773	laurentiella_sp._pujrc_g5
GCA_001880385.1	5878	5936	moneuplotes_crassus
GCA_000711775.1	5878	1172189	oxytricha_trifallax
GCA_000733385.1	5878	65126	paramecium_biaurelia
GCA_016759055.1	5878	74790	paramecium_bursaria
GCA_000715435.1	5878	5885	paramecium_caudatum
GCA_905182995.1	5878	43137	paramecium_octaurelia
GCA_905183005.1	5878	43138	paramecium_pentaurelia
GCA_905182975.1	5878	5886	paramecium_primaurelia
GCF_000150955.2	2850	556484	phaeodactylum_tricornutum_ccap_1055/1
GCF_000220395.1	6020	5932	ichthyophthirius_multifiliis
GCA_000733385.1	6020	65126	paramecium_biaurelia
GCA_016759055.1	6020	74790	paramecium_bursaria
GCA_000715435.1	6020	5885	paramecium_caudatum
GCA_905182995.1	6020	43137	paramecium_octaurelia
GCA_905183005.1	6020	43138	paramecium_pentaurelia
GCA_905182975.1	6020	5886	paramecium_primaurelia
GCA_000733375.1	6020	65128	paramecium_sexaurelia
GCA_905182985.1	6020	65129	paramecium_sonneborni
GCF_000165425.1	6020	412030	paramecium_tetraurelia_strain_d4-2
GCA_001447515.1	6020	266149	pseudocohnilembus_persalinus
GCA_000260095.1	6020	5893	tetrahymena_borealis
GCA_000231825.2	6020	1075773	tetrahymena_elliotti_4ea
GCA_000231845.2	6020	1075772	tetrahymena_malaccensis_436
