accession,taxid,superkingdom,phylum,class,order,family,genus,species,strain
GCA_014904845,886606,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Acephala,Acephala macrosclerotiorum,
GCF_003019875,857342,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Amorphothecaceae,Amorphotheca,Amorphotheca resinae,Amorphotheca resinae ATCC 22711
GCA_019669835,45428,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,,Amylocarpus,Amylocarpus encephaloides,
GCA_010623925,1955577,Eukaryota,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Antarctomyces,Antarctomyces pellizariae,
GCA_015345905,2592879,Eukaryota,Ascomycota,Leotiomycetes,Leotiales,Tympanidaceae,Aotearoamyces,Aotearoamyces nothofagi,
GCA_003988855,2259763,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Arachnopezizaceae,Arachnopeziza,Arachnopeziza araneosa,
GCA_003415645,253309,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Discinellaceae,Articulospora,Articulospora tetracladia,
GCA_000328965,1016881,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Gelatinodiscaceae,Ascocoryne,Ascocoryne sarcoides,Ascocoryne sarcoides NRRL 50072
GCA_021307315,1954211,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Bisporella,Bisporella sp. PMI_857,
GCA_900239735,546991,Eukaryota,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria,Blumeria hordei,Blumeria hordei DH14
GCA_009599575,373115,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Drepanopezizaceae,Blumeriella,Blumeriella jaapii,
GCA_004379285,38488,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botryotinia,Botryotinia calthae,
GCA_004786275,54673,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botryotinia,Botryotinia convoluta,
GCA_014898425,278942,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botryotinia,Botryotinia globosa,
GCA_004786225,278944,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botryotinia,Botryotinia narcissicola,
GCA_014898285,139639,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis aclada,
GCF_014898295,139641,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis byssoidea,
GCF_000143535,332648,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea,Botrytis cinerea B05.10
GCF_014898535,2478750,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis deweyae,
GCA_014898555,278938,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis elliptica,
GCA_001046975,1279116,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,Nakaseomyces bacillisporus,Nakaseomyces bacillisporus CBS 7720
GCA_001039675,1279113,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,Nakaseomyces delphensis,Nakaseomyces delphensis CBS 2170
GCA_001077315,1279114,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] bracarensis,[Candida] bracarensis CBS 10154
GCA_001046935,1279086,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] castellii,[Candida] castellii CBS 4332
GCF_000002545,5478,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] glabrata,
GCA_017309295,418086,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] nivariensis,
GCA_905178155,2202890,Eukaryota,,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,Amoebophrya sp. A120,
GCA_905178165,1410381,Eukaryota,,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,Amoebophrya sp. A25,
GCA_005223375,1775427,Eukaryota,,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,Amoebophrya sp. AT5.2,
GCA_019702695,2961,Eukaryota,,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium carterae,
GCA_000507305,1280413,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Breviolum,Breviolum minutum,Breviolum minutum Mf 1.05b.01
GCA_905237085,89957,Eukaryota,,Dinophyceae,Suessiales,Suessiaceae,Polarella,Polarella glacialis,
GCA_001652855,39449,Eukaryota,,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum minimum,
GCA_009767595,104179,Eukaryota,,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,Symbiodinium kawagutii,
